Season,Award_Cat,Award_Name,Lookupkey,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON,UID,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1516,C1,DeAndre Jordan ,1516DeAndre Jordan,C,27,LAC,77,77,2598,20.6,0.628,0.002,1.219,11.4,32.7,22.2,5.3,1,5.4,12.1,15.4,6,5.5,11.5,0.213,-0.4,3.8,3.4,3.5,1516,1516241,357,508,.703,0,1,.000,357,507,.704,.703,266,619,.430,267,792,1059,90,51,177,107,207,980
1516,C2,DeMarcus Cousins ,1516DeMarcus Cousins,C,25,SAC,65,65,2246,23.6,0.538,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,2.4,3.3,5.7,0.122,1,1.6,2.6,2.6,1516,151697,601,1332,.451,70,210,.333,531,1122,.473,.477,476,663,.718,158,589,747,214,101,92,249,236,1748
1516,C3,Andre Drummond ,1516Andre Drummond,C,22,DET,81,81,2666,21.2,0.499,0.006,0.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2,5.5,7.4,0.133,-2.1,1.6,-0.5,1,1516,1516121,552,1060,.521,2,6,.333,550,1054,.522,.522,208,586,.355,395,803,1198,67,119,112,155,245,1314
1415,C1,Marc Gasol ,1415Marc Gasol,C,30,MEM,81,81,2687,21.7,0.558,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6,1415,1415166,530,1072,.494,3,17,.176,527,1055,.500,.496,350,440,.795,115,515,630,307,70,131,176,208,1413
1415,C2,DeMarcus Cousins ,1415DeMarcus Cousins,C,24,SAC,59,59,2013,25.2,0.545,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4,16.3,34.1,2.8,3.2,6,0.144,1.4,3.3,4.7,3.4,1415,1415104,498,1066,.467,2,8,.250,496,1058,.469,.468,423,541,.782,185,562,747,210,90,103,254,241,1421
1415,C3,DeAndre Jordan ,1415DeAndre Jordan,C,26,LAC,82,82,2820,21,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3,1415,1415254,379,534,.710,1,4,.250,378,530,.713,.711,187,471,.397,397,829,1226,61,81,183,109,245,946
1314,C1,Joakim Noah ,1314Joakim Noah,C,28,CHI,80,80,2820,20,0.531,0.003,0.419,11.6,24.5,18.2,26.4,1.9,3.3,17,18.7,4.5,6.6,11.2,0.19,1.1,5.5,6.6,6.1,1314,1314332,380,800,.475,0,2,.000,380,798,.476,.475,247,335,.737,282,618,900,431,99,121,194,245,1007
1314,C2,Dwight Howard ,1314Dwight Howard,C,28,HOU,71,71,2396,21.3,0.6,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4,17.5,24,4,4.1,8,0.161,-0.3,2.2,1.9,2.4,1314,1314213,473,800,.591,2,7,.286,471,793,.594,.593,349,638,.547,231,635,866,131,60,128,229,240,1297
1314,C3,Al Jefferson ,1314Al Jefferson,C,29,CHA,73,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5,1314,1314230,700,1376,.509,3,15,.200,697,1361,.512,.510,191,277,.690,156,636,792,155,67,79,124,176,1594
1213,C1,Tim Duncan ,1213Tim Duncan,C,36,SAS,69,69,2078,24.4,0.554,0.007,0.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,3.4,4.9,8.3,0.191,-0.5,4.6,4.1,3.2,1213,1213118,490,976,.502,2,7,.286,488,969,.504,.503,245,300,.817,124,562,686,184,50,183,147,117,1227
1213,C2,Marc Gasol ,1213Marc Gasol,C,28,MEM,80,80,2796,19.5,0.559,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,6.1,5.4,11.5,0.197,1.7,4.4,6.1,5.7,1213,1213142,429,869,.494,1,14,.071,428,855,.501,.494,268,316,.848,184,438,622,318,80,139,157,255,1127
1213,C3,Dwight Howard ,1213Dwight Howard,C,27,LAL,76,76,2722,19.4,0.573,0.007,0.887,10.4,27.4,19.1,6.6,1.6,4.9,16.6,22.2,2.8,4.8,7.6,0.134,-1.5,2.8,1.3,2.3,1213,1213198,470,813,.578,1,6,.167,469,807,.581,.579,355,721,.492,251,694,945,108,84,186,225,291,1296
1112,C1,Dwight Howard ,1112Dwight Howard,C,26,ORL,54,54,2070,24.2,0.569,0.01,0.788,11,33.1,21.9,9.8,2.1,4.4,15.2,26.1,3.3,4.4,7.7,0.179,0.1,3.7,3.8,3,1112,1112218,416,726,.573,0,7,.000,416,719,.579,.573,281,572,.491,200,585,785,104,81,116,175,159,1113
1112,C2,Andrew Bynum ,1112Andrew Bynum,C,24,LAL,60,60,2112,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,4.8,3.3,8,0.183,0.7,1.2,1.8,2,1112,111275,444,796,.558,1,5,.200,443,791,.560,.558,234,338,.692,192,517,709,85,27,116,152,104,1123
1112,C3,Tyson Chandler ,1112Tyson Chandler,C,29,NYK,62,62,2061,18.7,0.708,0.006,0.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13,5.8,3.6,9.5,0.22,1.4,2.8,4.1,3.2,1112,111286,241,355,.679,0,2,.000,241,353,.683,.679,217,315,.689,212,400,612,56,56,89,102,186,699
1011,C1,Dwight Howard ,1011Dwight Howard,C,25,ORL,78,78,2935,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,0.9,3.9,4.8,5,1011,1011211,619,1044,.593,0,7,.000,619,1037,.597,.593,546,916,.596,309,789,1098,107,107,186,279,258,1784
1011,C2,Amar'e Stoudemire ,1011Amar'e Stoudemire,C,28,NYK,78,78,2870,22.7,0.565,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8,0.134,0.8,-0.1,0.7,1.9,1011,1011385,744,1482,.502,10,23,.435,734,1459,.503,.505,473,597,.792,198,438,636,202,71,150,250,274,1971
1011,C3,Al Horford ,1011Al Horford,C,24,ATL,77,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4,4.4,1011,1011209,513,921,.557,2,4,.500,511,917,.557,.558,150,188,.798,182,536,718,266,59,80,119,193,1178
0910,C1,Dwight Howard ,0910Dwight Howard,C,24,ORL,82,82,2843,24,0.63,0.008,0.978,12,31.3,22,8.7,1.4,6,18.7,23.9,6.1,7.1,13.2,0.223,0.4,5,5.5,5.4,0910,0910201,510,834,.612,0,7,.000,510,827,.617,.612,483,816,.592,284,798,1082,144,75,228,274,287,1503
0910,C2,Amar'e Stoudemire ,0910Amar'e Stoudemire,PF,27,PHO,82,82,2838,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,1.6,-1.3,0.3,1.6,0910,0910377,704,1264,.557,1,6,.167,703,1258,.559,.557,487,632,.771,230,502,732,82,52,83,213,281,1896
0910,C3,Andrew Bogut ,0910Andrew Bogut,C,25,MIL,69,69,2229,20.7,0.54,0.002,0.26,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,2.6,4.8,7.5,0.161,-0.9,4.3,3.4,3,0910,091050,473,910,.520,0,2,.000,473,908,.521,.520,149,237,.629,208,493,701,127,39,175,131,222,1095
0809,C1,Dwight Howard ,0809Dwight Howard,C,23,ORL,79,79,2821,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,6.2,7.6,13.8,0.234,0.1,4.3,4.4,4.6,0809,0809191,560,979,.572,0,2,.000,560,977,.573,.572,504,849,.594,336,757,1093,112,77,231,240,270,1624
0809,C2,Yao Ming ,0809Yao Ming,C,28,HOU,77,77,2589,22.7,0.618,0.001,0.426,9.6,24.1,17.1,10,0.6,4.2,16,26.2,5.6,5,10.6,0.196,0.6,2.4,3,3.3,0809,0809283,566,1032,.548,1,1,1.000,565,1031,.548,.549,381,440,.866,204,557,761,137,30,150,234,257,1514
0809,C3,Shaquille O'Neal ,0809Shaquille O'Neal,C,36,PHO,75,75,2252,22.3,0.623,0.001,0.617,10.1,22.3,16.4,8.9,1.1,3.5,13.6,24.2,5.6,2.2,7.8,0.166,1.7,0.3,2,2.3,0809,0809306,512,841,.609,0,1,.000,512,840,.610,.609,309,519,.595,187,446,633,126,49,108,168,253,1333
0708,C1,Dwight Howard ,0708Dwight Howard,C,22,ORL,82,82,3088,22.9,0.619,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,6.4,6.4,12.9,0.2,-0.2,2.5,2.2,3.3,0708,0708192,583,974,.599,0,4,.000,583,970,.601,.599,529,897,.590,279,882,1161,110,74,176,263,274,1695
0708,C2,Amar'e Stoudemire ,0708Amar'e Stoudemire,C,25,PHO,79,79,2677,27.6,0.656,0.026,0.571,8.2,21.1,15.2,7.5,1.2,4,10.3,28.2,10.9,3.8,14.6,0.262,3.5,0.4,3.9,4,0708,0708384,714,1211,.590,5,31,.161,709,1180,.601,.592,556,691,.805,178,541,719,118,64,163,174,294,1989
0708,C3,Yao Ming ,0708Yao Ming,C,27,HOU,55,55,2044,22.5,0.587,0.002,0.477,9.6,22.9,16.4,11.5,0.6,4,15.1,27.1,4.2,4.1,8.3,0.196,0.4,2.6,2.9,2.6,0708,0708281,432,852,.507,0,2,.000,432,850,.508,.507,345,406,.850,172,422,594,129,25,111,183,171,1209
0607,C1,Amar'e Stoudemire ,0607Amar'e Stoudemire,C,24,PHO,82,78,2689,23.1,0.637,0.003,0.555,10.1,23.3,17,5,1.5,2.9,15,25.8,7.2,4,11.2,0.201,0.9,0.7,1.6,2.4,0607,0607392,607,1055,.575,0,3,.000,607,1052,.577,.575,457,585,.781,222,564,786,84,78,110,232,295,1671
0607,C2,Yao Ming ,0607Yao Ming,C,26,HOU,48,48,1624,26.5,0.601,0.002,0.504,7.2,24.7,16,12.3,0.6,4.5,14.3,33.5,4,3.4,7.4,0.22,0.4,2,2.3,1.8,0607,0607283,423,819,.516,0,2,.000,423,817,.518,.516,356,413,.862,101,351,452,94,17,94,167,159,1202
0607,C3,Dwight Howard ,0607Dwight Howard,C,21,ORL,82,82,3023,21.1,0.619,0.002,0.763,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,3.9,5.8,9.7,0.154,0.5,3.1,3.6,4.3,0607,0607186,526,873,.603,1,2,.500,525,871,.603,.603,390,666,.586,283,725,1008,158,70,156,317,245,1443
0506,C1,Shaquille O'Neal ,0506Shaquille O'Neal,C,34,MIA,40,58,1135,21.7,0.567,0,0.614,10.3,20.3,15.4,14.3,0.4,3.8,13.5,29.4,1.4,1.5,2.8,0.119,0.4,0.4,0.9,0.8,0506,0506305,480,800,.600,0,0,0,480,800,.600,.600,221,471,.469,172,369,541,113,23,104,168,230,1181
0506,C2,Ben Wallace ,0506Ben Wallace,C,32,CHI,77,82,2697,14.6,0.456,0.012,0.63,12.9,21.7,17.4,9.9,2.1,4.6,15.7,10.6,1.6,6.6,8.2,0.146,-1.1,6.8,5.7,5.2,0506,0506423,237,465,.510,0,4,.000,237,461,.514,.510,123,296,.416,301,622,923,158,146,181,88,164,597
0506,C3,Yao Ming ,0506Yao Ming,C,26,HOU,48,57,1624,26.5,0.601,0.002,0.504,7.2,24.7,16,12.3,0.6,4.5,14.3,33.5,4,3.4,7.4,0.22,0.4,2,2.3,1.8,0506,0506283,467,900,.519,0,1,.000,467,899,.519,.519,337,395,.853,148,433,581,85,30,94,147,195,1271
1516,F1,Kawhi Leonard ,1516Kawhi Leonard,SF,24,SAS,72,72,2380,26,0.616,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,8.3,5.5,13.7,0.277,5.5,2.8,8.3,6.2,1516,1516263,551,1090,.506,129,291,.443,422,799,.528,.565,292,334,.874,95,398,493,186,128,71,105,133,1523
1516,F2,Kevin Durant ,1516Kevin Durant,SF,27,OKC,72,72,2578,28.2,0.634,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,11,3.5,14.5,0.27,7,0.9,7.9,6.4,1516,1516126,698,1381,.505,186,481,.387,512,900,.569,.573,447,498,.898,45,544,589,361,69,85,250,137,2029
1516,F3,Paul George ,1516Paul George,SF,25,IND,81,81,2819,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,4.4,4.8,9.2,0.157,3.5,1,4.5,4.6,1516,1516153,605,1449,.418,210,566,.371,395,883,.447,.490,454,528,.860,79,484,563,329,152,29,265,230,1874
1415,F1,LeBron James ,1415LeBron James,SF,30,CLE,69,69,2493,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9,1415,1415235,624,1279,.488,120,339,.354,504,940,.536,.535,375,528,.710,51,365,416,511,109,49,272,135,1743
1415,F2,Pau Gasol ,1415Pau Gasol,PF,34,CHI,78,78,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,6,4.4,10.4,0.187,0.7,2.1,2.8,3.2,1415,1415167,570,1153,.494,12,26,.462,558,1127,.495,.500,294,366,.803,220,699,919,210,25,147,158,147,1446
1415,F3,Blake Griffin ,1415Blake Griffin,PF,25,LAC,67,67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,6.6,2.4,9,0.183,3.1,1,4.1,3.6,1415,1415190,574,1144,.502,10,25,.400,564,1119,.504,.506,311,427,.728,126,382,508,354,63,35,152,196,1469
1314,F1,Kevin Durant ,1314Kevin Durant,SF,25,OKC,81,81,3122,29.8,0.635,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,14.8,4.4,19.2,0.295,8.4,0.4,8.8,8.5,1314,1314134,849,1688,.503,192,491,.391,657,1197,.549,.560,703,805,.873,58,540,598,445,103,59,285,174,2593
1314,F2,Blake Griffin ,1314Blake Griffin,PF,24,LAC,80,80,2863,23.9,0.583,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,8.1,4.1,12.2,0.205,3,1.6,4.6,4.8,1314,1314180,718,1359,.528,12,44,.273,706,1315,.537,.533,482,674,.715,192,565,757,309,92,51,224,265,1930
